מילה	יחידה	מקור ההוכחה	רפרנס	הערה
תעה	1	ויקינתונים (CC0)	L220324
עמל	1	ויקינתונים (CC0)	L216185
טרח	1	ויקינתונים (CC0)	L211542
שקד	1	ויקינתונים (CC0)	L219820
הגה	1	ויקינתונים (CC0)	L206911
חולל	1	ויקינתונים (CC0)	L210658
הסב	1	ויקינתונים (CC0)	L208305
הניב	1	ויקינתונים (CC0)	L208277
שכלל	1	ויקינתונים (CC0)	L219641
גרע	1	ויקינתונים (CC0)	L206387
דלל	1	ויקינתונים (CC0)	L206614
גדש	1	ויקינתונים (CC0)	L206060
הרעיף	1	ויקינתונים (CC0)	L208926
הפריז	1	ויקינתונים (CC0)	L208573
המעיט	1	ויקינתונים (CC0)	L208234
זקף	1	ויקינתונים (CC0)	L210523
גמל	1	ויקינתונים (CC0)	L206295
מחל	1	ויקינתונים (CC0)	L213038
החמיץ	1	ויקינתונים (CC0)	L207637
אכף	1	ויקינתונים (CC0)	L204914
זכה	1	ויקינתונים (CC0)	L210450
הרשיע	1	ויקינתונים (CC0)	L208955
כפר	1	ויקינתונים (CC0)	L1320773
הפיח	1	ויקינתונים (CC0)	L208523
מעך	1	ויקינתונים (CC0)	L213598
חרפה	1	ויקינתונים (CC0)	L77950
חפות	1	ויקינתונים (CC0)	L211079
תחנה	1	ויקינתונים (CC0)	L68611
קנאות	1	ויקינתונים (CC0)	L67907
הפוגה	1	ויקינתונים (CC0)	L208515
מורא	1	ויקינתונים (CC0)	L66125
גנאי	1	ויקינתונים (CC0)	L206302
תהלה	1	ויקינתונים (CC0)	L68558
מוניטין	1	ויקינתונים (CC0)	L66107
בוז	1	ויקינתונים (CC0)	L205540
חמלה	1	ויקינתונים (CC0)	L65304
אהדה	1	ויקינתונים (CC0)	L75046
משוכה	1	ויקינתונים (CC0)	L79603
תכלית	1	ויקינתונים (CC0)	L82487
תחבולה	1	ויקינתונים (CC0)	L220103
מזמה	1	ויקינתונים (CC0)	L78933
בצע	1	ויקינתונים (CC0)	L491563
מבוכה	1	ויקינתונים (CC0)	L66013
השתאות	1	ויקינתונים (CC0)	L209060
יסורים	1	ספריא · נחלת הכלל	Perush Maharzu on Vayikra Rabbah 29:5:2 (Midrash Rabbah, Vilna, 1878 [he])
מכאוב	1	ויקינתונים (CC0)	L66260
